NewQuestion,MC,
Title,,
QuestionText,Deoxygenated blood from the body returns to the:,
Points,1,
Difficulty,1,
Option,100,a) right atrium.
Option,0,b) right ventricle.
Option,0,c) left atrium.
Option,0,d) left ventricle.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 677			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,Blood that is ejected from the right ventricle:,
Points,1,
Difficulty,1,
Option,0,a) enters the systemic circulation.
Option,100,b) flows into the pulmonary arteries.
Option,0,c) has a high concentration of oxygen.
Option,0,d) was received directly from the aorta.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 677			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following blood vessels transports oxygenated blood?,
Points,1,
Difficulty,1,
Option,0,a) Superior vena cava
Option,0,b) Pulmonary arteries
Option,0,c) Inferior vena cava
Option,100,d) Pulmonary veins
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 678			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,What is the function of the left atrium?,
Points,1,
Difficulty,1,
Option,0,a) It ejects oxygenated blood into the aorta.
Option,100,b) It receives oxygenated blood from the lungs.
Option,0,c) It receives blood from the pulmonary arteries.
Option,0,d) It receives oxygenated blood from the vena cava.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 678			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,The left ventricle has the thickest walls because it:,
Points,1,
Difficulty,1,
Option,0,a) pumps blood to the lungs to be reoxygenated.
Option,0,b) uses less oxygen than other chambers of the heart.
Option,100,c) pumps blood into the aorta and systemic circulation.
Option,0,d) receives blood directly from the systemic circulation.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 678			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,The electrical impulse generated by the heart originates in the:,
Points,1,
Difficulty,1,
Option,0,a) bundle of His.
Option,100,b) coronary sinus.
Option,0,c) sinoatrial node.
Option,0,d) atrioventricular node.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 678			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,"When an electrical impulse reaches the AV node, it is slowed for a brief period of time so that:",
Points,1,
Difficulty,1,
Option,0,a) blood can pass from the atria to the ventricles.
Option,100,b) blood returning from the body can fill the atria.
Option,0,c) the impulse can spread through the Purkinje fibers.
Option,0,d) the SA node can reset and generate another impulse.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 678			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,The ability of cardiac muscle cells to contract spontaneously without a stimulus from a nerve source is called:,
Points,1,
Difficulty,1,
Option,0,a) excitability.
Option,0,b) contractility.
Option,0,c) impulsivity.
Option,100,d) automaticity.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 678			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,The electrical stimulus that originates in the heart’s primary pacemaker is controlled by impulses from the brain that arrive by way of the:,
Points,1,
Difficulty,1,
Option,0,a) parietal lobe.
Option,0,b) pons and medulla.
Option,0,c) somatic nervous system.
Option,100,d) autonomic nervous system.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 679			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following is NOT a function of the sympathetic nervous system?,
Points,1,
Difficulty,1,
Option,0,a) Dilation of blood vessels in the muscles
Option,100,b) Constriction of blood vessels in the muscles
Option,0,c) Increases in the heart and respiratory rates
Option,0,d) Constriction of blood vessels in the digestive system
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 679			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,"In contrast to the sympathetic nervous system, the parasympathetic nervous system:",
Points,1,
Difficulty,1,
Option,0,a) prepares the body to handle stress.
Option,0,b) causes an increase in the heart rate.
Option,100,c) slows the heart and respiratory rates.
Option,0,d) dilates the blood vessels in the muscles.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 679			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,When the myocardium requires more oxygen:,
Points,1,
Difficulty,1,
Option,0,a) the heart contracts with less force.
Option,100,b) the arteries supplying the heart dilate.
Option,0,c) the heart rate decreases significantly.
Option,0,d) the AV node conducts fewer impulses.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 679			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,"The myocardium receives oxygenated blood from the __________, which originate(s) from the __________.",
Points,1,
Difficulty,1,
Option,0,"a) coronary sinus, vena cava"
Option,0,"b) aorta, inferior vena cava"
Option,0,"c) vena cava, coronary veins"
Option,100,"d) coronary arteries, aorta"
Hint,"Complexity: Moderate			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 679			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,Which of the following would cause the greatest increase in cardiac output?,
Points,1,
Difficulty,1,
Option,100,a) Increased heart rate and increased stroke volume
Option,0,b) Decreased stroke volume and increased heart rate
Option,0,c) Decreased heart rate and increased stroke volume
Option,0,d) Decreased stroke volume and decreased heart rate
Hint,"Complexity: Moderate			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 679			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,The right coronary artery supplies blood to the:,
Points,1,
Difficulty,1,
Option,0,a) left ventricle and inferior wall of the right atrium.
Option,100,b) right ventricle and inferior wall of the left ventricle.
Option,0,c) right atrium and posterior wall of the right ventricle.
Option,0,d) left ventricle and posterior wall of the right ventricle.
Hint,"Complexity: Easy			Ahead: Anatomy and Physiology			Subject:Cardiovascular Emergencies, Page 679			Title: Cardiovascular Emergencies			Feedback: See Anatomy and Physiology			Taxonomy: Recall			Objective: 17-1 Discuss the basic anatomy and physiology of the cardiovascular system.",
NewQuestion,MC,
Title,,
QuestionText,The head and brain receive their supply of oxygenated blood from the:,
Points,1,
Difficulty,1,
Option,0,a) iliac arteries.
Option,0,b) brachial arteries.
Option,100,c) carotid arteries.
Option,0,d) subclavian arteries.
